issue,description,recommendation
price_slots_not_fixed_shops,"Các cột shop_1_price, shop_2_price, shop_3_price không đại diện cho các shop cố định mà là các price slots từ các nguồn bất kỳ. Vì vậy không thể so sánh trực tiếp shop_1, shop_2, shop_3 như ba cửa hàng cố định.",Diễn giải các cột này là price slots; chuyển dữ liệu sang long format khi cần phân tích theo shop_name thật; không kết luận shop nào đắt/rẻ hơn dựa trên shop_1/shop_2/shop_3.
price_domain_outliers,"Tồn tại một số giá trị giá nằm ngoài miền hợp lý của laptop, ví dụ các mức giá rất cao như 268.4M, 860M, 1629M hoặc 2750M VND. Các giá này có khả năng là lỗi crawl, lỗi parse hoặc listing không phù hợp.",Áp dụng domain filter ở cấp độ từng ô giá: null-out các giá < 3M hoặc > 200M; không xóa toàn bộ dòng nếu các nguồn giá khác vẫn hợp lệ.
price_relative_outliers,"Một số sản phẩm có một nguồn giá lệch mạnh so với hai nguồn còn lại, làm spread giữa các nguồn tăng cao. Đây thường là cell-level outlier hơn là lỗi của toàn bộ sản phẩm.","Sau domain filter, dùng median giá của từng dòng làm anchor; null-out giá nếu nhỏ hơn 0.5× hoặc lớn hơn 2× row median; sau đó tính lại giá tham chiếu từ các giá sạch."
price_spread_between_sources,"Sau khi lọc domain outlier, vẫn có nhiều sản phẩm có chênh lệch giá lớn giữa các nguồn. Spread median khoảng 10%, nhưng một số dòng có spread trên 30% hoặc 50%, có thể do khác biệt shop, khuyến mãi, bảo hành, cấu hình phụ hoặc listing chưa đồng nhất.",Không xóa toàn bộ các dòng có spread cao; tạo flag_price_spread_warn và flag_price_spread_critical để audit; ưu tiên dùng median thay vì mean để tổng hợp giá.
price_right_skewed_distribution,"Giá tham chiếu price_median có phân phối lệch phải, tập trung chủ yếu ở phân khúc thấp-trung nhưng vẫn có nhóm high-price tail gồm laptop cao cấp, gaming, workstation hoặc Apple cấu hình mạnh.",Dùng median/IQR để mô tả giá thay vì chỉ dùng mean; khi modeling nên cân nhắc log-transform target price_median để giảm ảnh hưởng của đuôi phải.
price_high_tail_valid_but_influential,"Nhóm giá cao sau cleaning phần lớn có cấu hình hợp lý như RAM 64GB-128GB, SSD từ 1TB đến >2TB, CPU/GPU cao cấp. Tuy nhiên nhóm này vẫn có thể ảnh hưởng mạnh đến mô hình do giá rất cao so với phần lớn dữ liệu.","Giữ lại nếu mục tiêu là bao phủ toàn bộ thị trường laptop mới; khi modeling có thể dùng log price, robust metrics, hoặc phân tích riêng high-end segment."
source_quality_variation,"Một số shop_name có tỷ lệ relative outlier cao hơn các nguồn khác, đặc biệt ở những nguồn có số quan sát ít. Điều này cho thấy chất lượng nguồn giá không hoàn toàn đồng nhất.","Không loại bỏ toàn bộ shop chỉ dựa trên tỷ lệ outlier nhỏ mẫu; dùng bảng source quality để audit nguồn, theo dõi các shop noisy và ưu tiên xử lý ở cấp độ từng ô giá."
screen_size_missing_values,"Cột Kích thước (inch) có một số giá trị thiếu. Sau khi clean và gom nhóm, có 96 dòng thuộc nhóm Unknown, bao gồm missing ban đầu và các giá trị bị loại do bất thường.",Không nên xóa dòng chỉ vì thiếu kích thước màn hình; gán nhóm 'Unknown' cho EDA/modeling hoặc suy luận lại từ title/spec nếu có dữ liệu bổ sung.
screen_size_outliers,"Tồn tại các giá trị kích thước màn hình lớn hơn 25 inch, không hợp lý với laptop và có khả năng là lỗi parse, lỗi crawl hoặc thông tin không thuộc trường kích thước màn hình.",Null-out các giá trị Kích thước (inch) > 25 hoặc <= 0 trước khi phân tích; kiểm tra thủ công nếu cần giữ lại các trường hợp đặc biệt.
screen_size_fragmentation,"Kích thước màn hình có nhiều giá trị chi tiết như 13.3, 13.4, 13.5, 14, 14.2, 15.3, 15.6, 16, 16.1, 16.2, 17.3, khiến phân tích theo từng giá trị đơn lẻ dễ bị phân mảnh.","Gom kích thước màn hình thành các nhóm như '<13in', '13-13.9in', '14-14.9in', '15-15.9in', '16-16.9in', '>=17in', và 'Unknown'."
screen_size_class_imbalance,"Phân phối kích thước màn hình không đồng đều. Dữ liệu tập trung chủ yếu ở nhóm 14-14.9 inch và 15-15.9 inch, trong khi các nhóm <13 inch và >=17 inch có ít mẫu hơn.","Khi so sánh giá theo screen size, cần chú ý số lượng mẫu từng nhóm; hạn chế kết luận mạnh với các nhóm có ít quan sát."
screen_size_price_confounding,"Giá có xu hướng cao hơn ở nhóm màn hình lớn, đặc biệt từ 16 inch trở lên, nhưng hiệu ứng này có thể bị nhiễu bởi cấu hình đi kèm như GPU, RAM, CPU, storage và brand.","Không kết luận màn hình lớn là nguyên nhân trực tiếp làm giá cao hơn; cần phân tích thêm theo tương tác với brand, GPU, RAM hoặc dùng mô hình đa biến."
brand_screen_interaction,"Median price theo screen size thay đổi rõ theo từng hãng. Ví dụ cùng nhóm 16-16.9 inch nhưng Apple và MSI có median price cao hơn nhiều so với HP, Lenovo hoặc Dell.","Giữ lại biến tương tác brand × screen_size_group trong EDA; khi modeling có thể dùng one-hot encoding cho brand và screen_size_group, hoặc thử interaction features nếu mô hình tuyến tính."
low_count_brand_screen_cells,"Một số tổ hợp brand × screen size có số lượng mẫu rất thấp, nên median price của các ô này không ổn định và dễ bị ảnh hưởng bởi outlier.","Chỉ hiển thị hoặc diễn giải các ô có số mẫu tối thiểu, ví dụ n >= 10; gom các brand hiếm vào 'Other' nếu cần."
cpu_brand_class_imbalance,"Phân phối CPU brand bị lệch mạnh về Intel. Intel chiếm khoảng 80.8% dữ liệu, trong khi AMD chiếm 13.1%, Apple 3.0%, Qualcomm 0.8% và Microsoft SQ 0.1%.","Khi phân tích hoặc modeling, cần lưu ý class imbalance; không nên so sánh mạnh các nhóm có quá ít mẫu như Qualcomm hoặc Microsoft SQ."
cpu_brand_unknown_values,"Sau khi cải thiện mapping CPU brand, vẫn còn 94 dòng thuộc nhóm Unknown. Phần lớn thiếu Công nghệ CPU, nhưng một số dòng vẫn có Loại CPU như 1240P, 12700H, 1135G7 hoặc 1115G4, có khả năng thuộc Intel.",Tiếp tục cải thiện mapping bằng cách suy luận brand từ Loại CPU; nếu không chắc chắn thì giữ nhóm Unknown thay vì gán sai.
cpu_model_high_cardinality,"Loại CPU có độ phân mảnh cao, nhiều model chỉ xuất hiện với số lượng nhỏ. Model phổ biến nhất cũng chỉ chiếm khoảng 5.4%, nên dùng trực tiếp Loại CPU có thể gây sparse features và overfitting.","Không nên dùng raw CPU model trực tiếp cho EDA/modeling; nên gom thành cpu_brand, cpu_tier hoặc generation/series nếu có rule đủ chắc."
cpu_tier_unknown_values,"Biến cpu_tier vẫn còn 304 dòng Unknown, cho thấy rule phân loại CPU tier chưa bao phủ hết các model hoặc thông tin CPU bị thiếu.",Audit các giá trị cpu_tier Unknown; mở rộng rule cho các mã CPU phổ biến hoặc giữ Unknown như một nhóm riêng trong modeling.
cpu_tier_price_confounding,"Giá tăng rõ theo cpu_tier, đặc biệt High-end có median price cao nhất. Tuy nhiên CPU tier thường đi kèm với RAM cao, GPU rời, storage lớn và brand cao cấp nên không thể xem CPU tier là nguyên nhân duy nhất làm giá tăng.","Khi phân tích giá, cần kết hợp cpu_tier với RAM, GPU, storage và brand; khi modeling nên dùng mô hình đa biến để kiểm soát các yếu tố đi kèm."
ram_capacity_missing_values,"Dung lượng RAM có rất ít missing sau cleaning, khoảng 23 dòng Unknown/missing. Tỷ lệ này thấp nhưng vẫn cần xử lý trước khi modeling.",Không nên xóa dòng chỉ vì thiếu RAM; gán nhóm Unknown hoặc impute nếu mô hình yêu cầu giá trị số.
ram_capacity_outliers_or_parse_errors,"Một số giá trị RAM bất thường như 512 hoặc 5600 có khả năng là lỗi parse hoặc bị nhầm với tốc độ RAM/thông số khác, không phải dung lượng RAM thực tế.",Null-out các giá trị RAM <= 0 hoặc > 256GB; kiểm tra thủ công các giá trị lạ nếu cần giữ lại.
ram_capacity_fragmentation,"Dung lượng RAM có một số mức không thuộc tier chính như 12GB, 18GB, 19GB, 24GB, 36GB hoặc 48GB. Một số giá trị là hợp lệ nhưng số lượng ít, dễ làm phân mảnh category.","Gom RAM thành các nhóm chính như ≤8GB, 16GB, 32GB, >32GB, Other và Unknown để phân tích ổn định hơn."
ram_tier_price_confounding,"RAM tier có quan hệ rất mạnh với price_median; giá tăng rõ từ ≤8GB lên 16GB, 32GB và >32GB. Tuy nhiên RAM cao thường đi kèm CPU/GPU/storage/brand cao cấp.","Giữ ram_tier_clean là feature quan trọng, nhưng khi diễn giải tác động đến giá cần kiểm soát thêm CPU tier, GPU tier, storage và brand."
ram_type_missing_unknown,"Loại RAM có nhiều giá trị Unknown hơn dung lượng RAM, khoảng 326 dòng sau cleaning. Đây là nguồn thiếu thông tin đáng chú ý trong nhóm RAM.",Giữ Unknown như một category riêng; nếu có title/spec gốc thì có thể parse bổ sung để giảm missing.
ram_type_inconsistent_labels,"Loại RAM có nhiều biến thể và lỗi chính tả như DDR5x, DDR5X, LPDDR5x, LPDDR5X, DR4, DR5 hoặc giá trị số như 16, 32, 8.","Chuẩn hóa bằng mapping dictionary: uppercase, sửa typo, gom biến thể tương đương và đưa giá trị số/lỗi parse về Unknown hoặc Other."
ram_type_low_frequency_categories,"Một số loại RAM như LPDDR4, DDR5X, LPDDR3, DDR3, DDR3L hoặc Other có số lượng mẫu thấp, khiến median price của từng nhóm không ổn định.","Khi modeling, cân nhắc gom nhóm hiếm vào Other hoặc chỉ giữ các nhóm lớn như DDR4, DDR5, LPDDR5X, LPDDR5, LPDDR4X và Unknown."
cpu_ram_interaction,"Median price tăng theo RAM tier trong từng CPU brand, đặc biệt rõ ở Intel, AMD và Apple. Điều này cho thấy RAM và CPU không độc lập khi giải thích giá.","Trong EDA nên phân tích CPU Brand × RAM Tier; khi modeling, cân nhắc thêm interaction features hoặc dùng mô hình tree-based có thể tự học tương tác."
gpu_ram_interaction,"Median price tăng mạnh khi RAM cao kết hợp với GPU rời, đặc biệt ở các nhóm RTX hoặc Other GPU. Một số tổ hợp RAM × GPU có giá rất cao.","Giữ cả gpu_tier và ram_tier_clean; cân nhắc interaction gpu_tier × ram_tier_clean, đồng thời lọc các cell có quá ít quan sát khi diễn giải."
low_count_interaction_cells,"Một số tổ hợp CPU Brand × RAM Tier hoặc GPU Tier × RAM Tier có số lượng mẫu thấp, ví dụ Microsoft SQ, Qualcomm, AMD >32GB hoặc một số GPU rời với RAM cao.","Chỉ hiển thị/diễn giải các ô có số mẫu tối thiểu, ví dụ n >= 20; gom nhóm hiếm nếu cần dùng cho modeling."
storage_type_missing_unknown,Loại ổ cứng có 222 dòng thuộc nhóm Unknown sau cleaning. Đây là các dòng thiếu thông tin hoặc có giá trị bị parse nhầm như dung lượng nằm trong cột loại ổ cứng.,Giữ Unknown như một category riêng; nếu có title/spec gốc thì parse bổ sung để suy luận lại loại ổ cứng.
storage_type_inconsistent_labels,"Loại ổ cứng ban đầu có nhiều nhãn chưa chuẩn như SSd, SS, 256GB, 512GB hoặc eMMC. Một số giá trị là lỗi viết hoa/thường, một số là dung lượng bị parse nhầm vào cột loại ổ cứng.","Chuẩn hóa nhãn bằng mapping: SSd/SS → SSD, SSD + HDD/HDD + SSD → SSD + HDD, dung lượng như 256GB/512GB → Unknown."
storage_type_class_imbalance,"Loại ổ cứng bị lệch mạnh về SSD. Sau cleaning, SSD có 3.702 dòng, trong khi HDD có 402 dòng, SSD + HDD có 57 dòng và eMMC chỉ có 1 dòng.","Khi modeling, có thể giữ SSD, HDD, SSD + HDD và Unknown; cân nhắc gom eMMC vào Other/Unknown vì số lượng quá ít."
storage_capacity_missing_values,Dung lượng ổ cứng có 225 dòng missing sau cleaning. Đây là tỷ lệ không quá lớn nhưng vẫn cần xử lý trước khi phân tích giá hoặc modeling.,Không nên xóa dòng chỉ vì thiếu dung lượng ổ cứng; gán storage_tier_clean = 'Unknown' hoặc impute nếu mô hình yêu cầu giá trị số.
storage_capacity_fragmentation,"Dung lượng ổ cứng có nhiều giá trị chi tiết như 500GB, 1152GB, 1280GB, 1536GB, 6144GB. Một số có thể là cấu hình thật, một số có thể do parse hoặc cộng gộp nhiều ổ.","Gom dung lượng thành storage tiers như ≤256GB, 512GB, 1TB, 2TB, >2TB và Unknown để giảm phân mảnh."
storage_tier_price_confounding,"Giá tăng rõ theo storage tier, đặc biệt ở nhóm 2TB và >2TB. Tuy nhiên storage lớn thường đi kèm RAM cao, CPU/GPU mạnh và brand cao cấp.","Giữ storage_tier_clean là feature quan trọng, nhưng khi diễn giải tác động đến giá cần kiểm soát thêm RAM, CPU tier, GPU tier và brand."
storage_high_tier_low_count,Nhóm >2TB chỉ có 18 sản phẩm nhưng median price rất cao. Kết quả của nhóm này dễ bị ảnh hưởng bởi các cấu hình đặc biệt hoặc outlier hợp lệ.,"Diễn giải nhóm >2TB thận trọng; khi modeling có thể gom 2TB và >2TB nếu cần giảm sparsity, hoặc giữ riêng nếu dùng mô hình tree-based."
gpu_unknown_values,"GPU vẫn còn 207 dòng thuộc nhóm Unknown sau khi tạo gpu_tier_v2. Ngoài ra nhóm Other GPU còn khá lớn với 632 dòng, cho thấy GPU chưa được phân loại chi tiết hoàn toàn.",Audit các giá trị trong Unknown và Other GPU; mở rộng rule mapping nếu phát hiện model phổ biến chưa được nhận diện.
gpu_model_high_cardinality,"Tên GPU model raw có nhiều giá trị chi tiết như Intel Iris Xe, Intel UHD, RTX 3050, RTX 4050, RTX 4060, RTX 5090, Apple GPU, Other GPU. Dùng trực tiếp GPU model có thể tạo sparse features.",Ưu tiên dùng gpu_tier_v2 thay vì raw GPU model; chỉ giữ raw model để audit hoặc phân tích chuyên sâu.
gpu_tier_class_imbalance,"Phân phối GPU tier không đồng đều. Intel Integrated chiếm 1.721 dòng, trong khi Apple GPU có 116 dòng, RTX 5000 có 144 dòng và GTX có 148 dòng.","Khi so sánh giá theo GPU tier, cần chú ý số lượng mẫu; hạn chế kết luận mạnh với các nhóm nhỏ."
gpu_tier_price_effect,"Median price khác biệt rõ theo GPU tier. Apple GPU, RTX 5000, Other RTX và RTX 4000 có median cao hơn nhiều so với Intel Integrated, AMD Radeon hoặc Other GPU.",Giữ gpu_tier_v2 là feature quan trọng trong EDA/modeling; cân nhắc thêm interaction với RAM tier và CPU tier.
gpu_other_group_heterogeneity,"Nhóm Other GPU có số lượng lớn và có thể chứa nhiều loại GPU khác nhau, từ GPU tích hợp chưa phân loại đến GPU cao cấp hoặc Apple/AMD chưa map đúng.",Không diễn giải Other GPU như một nhóm đồng nhất; nên kiểm tra các model phổ biến bên trong nhóm này và cải thiện mapping nếu cần.
ram_storage_interaction,Median price tăng mạnh khi RAM tier và storage tier cùng tăng. Các tổ hợp như 32GB + 2TB hoặc >32GB + 2TB có median price rất cao.,Cân nhắc dùng interaction ram_tier_clean × storage_tier_clean hoặc mô hình tree-based để học quan hệ phi tuyến.
gpu_storage_interaction,Các cấu hình GPU mạnh thường đi kèm storage lớn và giá cao. Nếu chỉ xét storage hoặc GPU riêng lẻ có thể bỏ sót hiệu ứng tương tác.,Phân tích thêm GPU tier × storage tier; khi modeling nên giữ cả gpu_tier_v2 và storage_tier_clean.
high_end_valid_but_influential,"Nhóm high-end sau cleaning gồm nhiều máy cấu hình rất mạnh như Apple M4 MAX, Intel Core Ultra 9, RTX 4090/5090, RAM 64GB-128GB và storage 2TB/>2TB. Các giá cao phần lớn hợp lý nhưng có ảnh hưởng mạnh đến phân phối target.","Không loại bỏ mặc định các dòng high-end; khi modeling nên dùng log-transform cho price_median, robust metrics hoặc phân tích riêng phân khúc high-end."
low_count_interaction_cells,"Một số tổ hợp GPU × storage hoặc RAM × storage có số lượng mẫu thấp, đặc biệt ở nhóm >2TB, Apple GPU, RTX 5000 hoặc các cấu hình hiếm.","Chỉ hiển thị/diễn giải các ô có số mẫu tối thiểu, ví dụ n >= 20; gom nhóm hiếm nếu cần dùng cho mô hình tuyến tính."
target_right_skewed,"Biến mục tiêu price_median có phân phối lệch phải rõ rệt, với mean cao hơn median và skewness khoảng 2.65. Nhóm laptop high-end kéo đuôi phải của phân phối.",Ưu tiên dùng log_price_median làm target khi modeling; sau dự đoán chuyển ngược về giá gốc bằng expm1.
high_price_tail_influence,"Một số sản phẩm có price_median rất cao, tối đa khoảng 179.4 triệu VND. Phần lớn là cấu hình high-end hợp lệ nhưng có thể ảnh hưởng mạnh đến mô hình.","Không loại bỏ mặc định; dùng log-transform, robust metrics và kiểm tra lỗi riêng theo nhóm high-end."
numeric_missing_values,"Một số biến numeric vẫn còn missing, gồm storage_gb_clean 225 dòng, screen_size_clean 96 dòng và ram_gb_clean 23 dòng.","Dùng median imputation cho numeric features hoặc ưu tiên dùng các biến tier đã có nhóm Unknown như storage_tier_clean, screen_size_group và ram_tier_clean."
categorical_unknown_values,"Một số biến categorical có nhóm Unknown, cao nhất là ram_type_clean khoảng 7.44%, cpu_tier khoảng 6.93%, storage_tier_clean khoảng 5.13%, storage_type_clean khoảng 5.06%, gpu_tier_v2 khoảng 4.72% và brand_clean khoảng 4.11%.",Giữ Unknown như một category riêng thay vì drop dòng; tiếp tục cải thiện parsing nếu có title/spec gốc.
category_imbalance,"Các categorical features bị mất cân bằng. Ví dụ CPU chủ yếu là Intel, storage chủ yếu là SSD/512GB, GPU phổ biến nhất là Intel Integrated và screen size phổ biến nhất là 14-14.9 inch.","Khi đánh giá model, kiểm tra performance theo từng segment; tránh kết luận quá mạnh với các nhóm ít mẫu."
sparse_categories,"Một số nhóm hiếm như Microsoft SQ, Qualcomm, eMMC, >2TB storage, RTX 5000, Apple GPU hoặc các brand ít mẫu có thể tạo sparse one-hot features.",Gom nhóm hiếm vào Other nếu dùng mô hình tuyến tính; với tree-based models có thể giữ nhưng vẫn cần kiểm tra overfitting.
soft_duplicates_same_config,"Không có full-row duplicates, nhưng có nhiều dòng trùng cấu hình cơ bản theo spec_key. Các dòng này có thể là biến thể sản phẩm, khác shop, khác màu, khác model phụ hoặc listing gần giống nhau.","Không drop tự động; nếu modeling theo cấu hình thay vì listing, cân nhắc aggregate theo spec_key bằng median price."
price_quality_variation,"Sau cleaning, mỗi sản phẩm trung bình còn khoảng 2.99 giá sạch, nhưng vẫn có một số sản phẩm chỉ còn 2 giá hoặc có price_spread_clean_pct cao.",Giữ n_prices_clean và price_spread_clean_pct làm quality features hoặc dùng để audit; có thể kiểm tra model error cao ở nhóm spread lớn.
nonlinear_feature_effects,"Nhiều quan hệ với giá không tuyến tính, ví dụ RAM tier, storage tier, GPU tier và CPU tier có tác động theo cấp bậc và tương tác với nhau.","Ưu tiên mô hình tree-based như Random Forest, Gradient Boosting, XGBoost, LightGBM hoặc CatBoost; nếu dùng linear model thì cần one-hot và interaction features."
feature_confounding,"Các feature cấu hình có liên hệ chặt với nhau: RAM cao thường đi cùng CPU mạnh, GPU rời, storage lớn và brand cao cấp. Vì vậy feature importance không nên diễn giải như quan hệ nhân quả.","Diễn giải feature importance như mức đóng góp dự đoán, không phải tác động nhân quả; phân tích thêm permutation importance hoặc SHAP nếu cần."
baseline_model_not_final,"Baseline Random Forest đạt R² khoảng 0.746 trên log_price_median và MAE khoảng 5.51 triệu VND, nhưng đây chỉ là sanity check ban đầu.","Ở modeling chính thức cần dùng train/validation/test hoặc cross-validation, tuning hyperparameters, so sánh nhiều mô hình và kiểm tra residual."
evaluation_by_price_segment,"Dữ liệu có cả laptop phổ thông và high-end, nên MAE tổng thể có thể che giấu lỗi lớn ở từng phân khúc giá.","Đánh giá model theo price bands như low, mid, high và high-end; báo cáo MAE/MAPE/RMSE riêng cho từng segment."
