model_name,target_used,price_segment,count,mae,rmse,mape,median_absolute_error,mean_residual
CatBoost,log_target_price,Low,597,1.347536347343062,1.9468575251374152,0.3240333641042416,0.9638086269142905,-0.48088256624346404
CatBoost,log_target_price,Mid,437,2.367850116282283,3.034195222091427,0.203088955846807,1.8856670247664908,0.36302356010861403
CatBoost,log_target_price,High,252,4.453112994962374,5.82376159929197,0.20090465281076833,3.3587816416206504,1.216071683218862
CatBoost,log_target_price,Premium,174,10.721949286315494,13.784445309253373,0.22148208330671593,9.501414548024062,7.7023745855039705
CatBoost,target_price,Low,597,1.6721371488285186,2.4104023961653107,0.4137181474766354,1.2219149467389059,-0.8974330474739916
CatBoost,target_price,Mid,437,2.5126284669204124,3.27791033290783,0.21661836588600242,1.9524024130069844,-0.19991202179474069
CatBoost,target_price,High,252,4.267656525832036,5.540762685580644,0.19405165316227022,3.5054875010982505,0.4264432785770701
CatBoost,target_price,Premium,174,9.548325146184425,12.431057309004887,0.19864572644803935,7.244537414762114,6.1641219621167025
ElasticNet,log_target_price,Low,597,1.8286042095112183,2.4186785158917523,0.4976694734876619,1.455392014573996,-1.073409312263048
ElasticNet,log_target_price,Mid,437,2.951836066461689,3.6433976095702243,0.24533393294025657,2.6947587102622688,1.3400256803241304
ElasticNet,log_target_price,High,252,6.056947391217361,7.581528779750718,0.27445595167605324,5.004942701271176,2.31186970588338
ElasticNet,log_target_price,Premium,174,21.883924363921953,61.6166376323316,0.3598710801496501,13.284362247664834,0.41443093081017424
ElasticNet,target_price,Low,597,2.3810018276668106,3.1863146630293357,0.5875007789912515,1.7494224260214235,-0.7637095705581525
ElasticNet,target_price,Mid,437,3.153102741999357,4.28945609907135,0.26869606461397133,2.1868574564145753,-0.8386234413159973
ElasticNet,target_price,High,252,5.454060371707579,7.196084998053764,0.2504070053266107,4.157244648014272,-0.8343626688468389
ElasticNet,target_price,Premium,174,12.045344355536933,15.53730373655663,0.23632553833646347,10.151910225258328,8.740821266216074
ExtraTrees,log_target_price,Low,597,1.6214475843552747,2.5563656991663173,0.3808732463219633,1.1099999999999834,-0.6081966555500149
ExtraTrees,log_target_price,Mid,437,2.568420944871365,3.3963199971899973,0.21881969133342435,1.9917477503182628,0.043730215369518995
ExtraTrees,log_target_price,High,252,4.416276222510392,6.019935977459549,0.2008603846294289,3.460547701946515,0.5233337940957511
ExtraTrees,log_target_price,Premium,174,9.972737731723146,13.677930298732651,0.2056649651989314,7.170715964139889,7.468713334659142
ExtraTrees,target_price,Low,597,1.7324382358493202,2.7860294062742557,0.4147510430108537,1.2000000000000002,-0.8328645039073765
ExtraTrees,target_price,Mid,437,2.6780844994602107,3.5499476581825853,0.22817981310495591,2.0819999999999883,-0.30317818139330305
ExtraTrees,target_price,High,252,4.490157920212118,6.156702378687533,0.20397681742065632,3.531634166666729,-0.036876081445695576
ExtraTrees,target_price,Premium,174,9.464608026256832,13.028028257170204,0.194379847594878,6.621873333333204,6.307069926639974
Lasso,log_target_price,Low,597,1.8326280059659583,2.4158527278655315,0.5006499740821863,1.4471884322427897,-1.084496776798957
Lasso,log_target_price,Mid,437,2.940718710101278,3.626364562106811,0.24426091859074553,2.677766272459431,1.3503577559932682
Lasso,log_target_price,High,252,6.047219295466449,7.552475804629508,0.27403931461068154,4.996236370576214,2.375779408311645
Lasso,log_target_price,Premium,174,21.99239642618658,62.21990181895388,0.3607327294860055,13.281858829745952,0.19906673900132205
Lasso,target_price,Low,597,2.3804827718724315,3.185755893188739,0.5873942329069394,1.7554273819742505,-0.76478168116309
Lasso,target_price,Mid,437,3.1520686601595473,4.287359796536486,0.2686139970837078,2.1888723541940642,-0.8360806233652398
Lasso,target_price,High,252,5.455422552003238,7.196636080483902,0.250452545815529,4.161129578609723,-0.8338440830618483
Lasso,target_price,Premium,174,12.048144879140668,15.536932375387407,0.23644926130272734,10.151065695633864,8.734822509874657
LightGBM,log_target_price,Low,597,1.3551283722124112,2.082707082735245,0.32536592149283455,0.9741749510006263,-0.4597329120025846
LightGBM,log_target_price,Mid,437,2.357600248166962,3.037388830913052,0.2002243068218703,1.9537459422359138,0.3637219672480856
LightGBM,log_target_price,High,252,4.416801764100225,5.762116747628866,0.198571575617682,3.643377591831203,0.9830067302245141
LightGBM,log_target_price,Premium,174,10.03233187703668,12.973683484488063,0.20484268030431216,8.59641135317084,5.605922630842975
LightGBM,target_price,Low,597,1.5216107107472858,2.3480563562169676,0.37862830481888043,1.083335941799482,-0.791686413713551
LightGBM,target_price,Mid,437,2.368543992905851,3.14641097856609,0.20194626682075031,1.9017883908224356,-0.057284647858246746
LightGBM,target_price,High,252,4.470288696915995,5.766880578231287,0.2021856138651745,3.3703639775380783,0.414085818209633
LightGBM,target_price,Premium,174,9.413321536707228,12.124641504914122,0.19469060378675324,7.885290647526505,4.744519372808352
LinearRegression,log_target_price,Low,597,1.8431746136001672,2.443766109421954,0.4969344192021862,1.4984632791351826,-1.0760860525136224
LinearRegression,log_target_price,Mid,437,2.979096279230071,3.6772867990262283,0.2476473031674274,2.695046028796048,1.3305324386599586
LinearRegression,log_target_price,High,252,6.1528448900601065,7.688586119038548,0.2790713242217646,4.934568441306704,2.2710085190015037
LinearRegression,log_target_price,Premium,174,21.824842629380328,60.92680335013221,0.3607556187710413,13.15699350329356,0.4574377050002284
LinearRegression,target_price,Low,597,2.40119568935814,3.214653275751573,0.5936392106970516,1.8,-0.800302887874829
LinearRegression,target_price,Mid,437,3.142804583248511,4.274830251374998,0.26791241175451846,2.2110583667284924,-0.809569227808121
LinearRegression,target_price,High,252,5.497891514384921,7.238179526100734,0.2524690742357533,4.198792741728491,-0.82423332126754
LinearRegression,target_price,Premium,174,12.062118229103573,15.571627506710946,0.23664776395332165,10.187769758271507,8.726595537705503
RandomForest,log_target_price,Low,597,1.4836287554275687,2.1240088735573806,0.3565021881245585,1.1082355244695066,-0.5224274362190746
RandomForest,log_target_price,Mid,437,2.5854089080929348,3.3939610322674656,0.22007802230874532,1.9712992332951522,0.061691208832658904
RandomForest,log_target_price,High,252,4.3628373500571085,5.7575654111602415,0.1974030518308434,3.4479132284948815,0.8033423346216935
RandomForest,log_target_price,Premium,174,10.300220491304598,13.67099247134091,0.20720218172297086,8.383409275081576,8.186831991263833
RandomForest,target_price,Low,597,1.6388518104946976,2.6434313259737356,0.4069993942086814,1.1914751111111097,-0.8408748225513394
RandomForest,target_price,Mid,437,2.656000857838005,3.5649199615212144,0.2261418373473542,2.003911111111112,-0.4541558275509657
RandomForest,target_price,High,252,4.291263196288881,5.753726408156235,0.19435928443237802,3.1998508333333344,-0.005308870101701323
RandomForest,target_price,Premium,174,9.346209889843905,12.555816551388896,0.1900893740066405,6.897305000000092,6.234795779736262
Ridge,log_target_price,Low,597,1.825109089442997,2.424504656931592,0.49455692637298865,1.4431210439265567,-1.0612909218578703
Ridge,log_target_price,Mid,437,2.9702841045136967,3.6688998861292044,0.246982861786264,2.7164043638423916,1.3285537198145443
Ridge,log_target_price,High,252,6.085703627007597,7.624736949778043,0.27568721103753097,4.987513560689649,2.2351160393853653
Ridge,log_target_price,Premium,174,21.783507934382747,60.98023059958345,0.3596668407672782,13.060134037087503,0.6420219123304962
Ridge,target_price,Low,597,2.381517148331811,3.1875218043647897,0.5878468088050134,1.7613749062332236,-0.7649805031015879
Ridge,target_price,Mid,437,3.154323836853845,4.28893823539398,0.2688008609415934,2.1956458376112593,-0.8326652301249796
Ridge,target_price,High,252,5.4562691671711265,7.196249633652974,0.25049563489382204,4.162705178543838,-0.832141933312001
Ridge,target_price,Premium,174,12.041868588442272,15.530921065933374,0.23629967386732192,10.16047935847857,8.724590392021156
